McID,StatusID,TimeStamp
Machine_1,7,2018-03-14T21:55:44.247Z
Machine_2,7,2018-03-14T21:56:02.890Z
Machine_1,0,2018-03-14T21:56:31.027Z
Machine_0,1,2018-03-14T21:56:42.933Z
Machine_5,0,2018-03-14T21:56:46.587Z
Machine_0,9,2018-03-14T21:57:31.293Z
Machine_2,10,2018-03-14T21:57:56.953Z
Machine_0,0,2018-03-14T21:58:00.580Z
Machine_2,9,2018-03-14T21:58:05.537Z
Machine_0,9,2018-03-14T21:58:13.027Z
Machine_1,1,2018-03-14T21:58:31.100Z
Machine_2,9,2018-03-14T21:58:47.220Z
Machine_5,1,2018-03-14T21:59:18.700Z
Machine_0,0,2018-03-14T22:00:06.520Z
Machine_5,1,2018-03-14T22:00:45.910Z
Machine_0,0,2018-03-14T22:00:47.917Z
Machine_2,7,2018-03-14T22:00:51.447Z
Machine_0,9,2018-03-14T22:01:08.237Z
Machine_1,1,2018-03-14T22:01:16.683Z
Machine_0,1,2018-03-14T22:01:37.840Z
Machine_0,10,2018-03-14T22:01:37.920Z
Machine_5,0,2018-03-14T22:01:51.047Z
Machine_1,7,2018-03-14T22:02:33.750Z
Machine_1,1,2018-03-14T22:02:52.990Z
Machine_2,10,2018-03-14T22:02:58.107Z
Machine_0,0,2018-03-14T22:03:04.707Z
Machine_0,9,2018-03-14T22:03:23.413Z
Machine_2,7,2018-03-14T22:03:35.367Z
Machine_0,7,2018-03-14T22:03:55.280Z
Machine_2,0,2018-03-14T22:04:08.893Z
Machine_2,10,2018-03-14T22:04:13.137Z
Machine_1,1,2018-03-14T22:04:22.077Z
Machine_2,0,2018-03-14T22:04:47.807Z
Machine_1,0,2018-03-14T22:04:55.247Z
Machine_2,1,2018-03-14T22:05:27.400Z
Machine_1,1,2018-03-14T22:05:48.483Z
Machine_0,7,2018-03-14T22:06:10.037Z
Machine_2,7,2018-03-14T22:06:22.910Z
Machine_1,1,2018-03-14T22:07:04.923Z
Machine_2,1,2018-03-14T22:07:28.830Z
Machine_2,10,2018-03-14T22:07:29.077Z
Machine_1,1,2018-03-14T22:07:48.567Z
Machine_0,1,2018-03-14T22:07:59.623Z
Machine_2,0,2018-03-14T22:08:54.173Z
Machine_2,1,2018-03-14T22:09:33.397Z
Machine_0,0,2018-03-14T22:09:34.927Z
Machine_0,7,2018-03-14T22:09:36.933Z
Machine_1,9,2018-03-14T22:09:42.880Z
Machine_1,0,2018-03-14T22:10:04.230Z
Machine_0,0,2018-03-14T22:10:17.207Z
Machine_3,3,2018-03-14T22:10:42.440Z
Machine_0,1,2018-03-14T22:10:50.340Z
Machine_5,1,2018-03-14T22:12:03.107Z
Machine_5,0,2018-03-14T22:13:22.023Z
Machine_3,0,2018-03-14T22:15:55.950Z
Machine_3,3,2018-03-14T22:27:10.503Z
Machine_3,4,2018-03-14T22:27:16.330Z
